"design","treatment","outcome","horizon","stat_obs","p_perm","n_perm"
"packaged-results/dass-R/poverty_outcomes/design/design_transfer_composite_poverty_all_q_h4.csv","transfer_composite","poverty_all_q",4,-0.161932594122779,0.0598006644518272,300
"packaged-results/dass-R/poverty_outcomes/design/design_transfer_composite_poverty_all_q_h8.csv","transfer_composite","poverty_all_q",8,-0.144489606719861,0.112956810631229,300
"packaged-results/dass-R/poverty_outcomes/design/design_transfer_composite_poverty_child_q_h2.csv","transfer_composite","poverty_child_q",2,-0.468370838468271,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_transfer_composite_poverty_child_q_h4.csv","transfer_composite","poverty_child_q",4,-0.445405378086693,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_transfer_composite_poverty_child_q_h8.csv","transfer_composite","poverty_child_q",8,-0.422669328739845,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_transfer_composite_wealth_share_gap_top1_bottom50_h2.csv","transfer_composite","wealth_share_gap_top1_bottom50",2,0.759697167573048,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_transfer_composite_wealth_share_gap_top1_bottom50_h4.csv","transfer_composite","wealth_share_gap_top1_bottom50",4,0.753689550043281,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_transfer_composite_wealth_share_gap_top1_bottom50_h8.csv","transfer_composite","wealth_share_gap_top1_bottom50",8,0.733275989230657,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_transfer_composite_wealth_share_gap_top10_bottom50_h2.csv","transfer_composite","wealth_share_gap_top10_bottom50",2,0.438769167375402,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_transfer_composite_wealth_share_gap_top10_bottom50_h4.csv","transfer_composite","wealth_share_gap_top10_bottom50",4,0.42999319380893,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_transfer_composite_wealth_share_gap_top10_bottom50_h8.csv","transfer_composite","wealth_share_gap_top10_bottom50",8,0.408061223679339,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_ui_benefits_gini_households_q_h2.csv","ui_benefits","gini_households_q",2,0.262372966422906,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_ui_benefits_gini_households_q_h4.csv","ui_benefits","gini_households_q",4,0.280105621196195,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_ui_benefits_gini_households_q_h8.csv","ui_benefits","gini_households_q",8,0.237458527060107,0.00664451827242525,300
"packaged-results/dass-R/poverty_outcomes/design/design_ui_benefits_median_real_income_fred_q_h2.csv","ui_benefits","median_real_income_fred_q",2,0.188846509212299,0.026578073089701,300
"packaged-results/dass-R/poverty_outcomes/design/design_ui_benefits_median_real_income_fred_q_h4.csv","ui_benefits","median_real_income_fred_q",4,0.172384554552556,0.0332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_ui_benefits_median_real_income_fred_q_h8.csv","ui_benefits","median_real_income_fred_q",8,0.148607722953043,0.12624584717608,300
"packaged-results/dass-R/poverty_outcomes/design/design_ui_benefits_poverty_all_q_h2.csv","ui_benefits","poverty_all_q",2,0.0159420437054995,0.890365448504983,300
"packaged-results/dass-R/poverty_outcomes/design/design_ui_benefits_poverty_all_q_h4.csv","ui_benefits","poverty_all_q",4,0.0699022594524345,0.448504983388704,300
"packaged-results/dass-R/poverty_outcomes/design/design_ui_benefits_poverty_all_q_h8.csv","ui_benefits","poverty_all_q",8,0.0584405088316503,0.601328903654485,300
"packaged-results/dass-R/poverty_outcomes/design/design_ui_benefits_poverty_child_q_h2.csv","ui_benefits","poverty_child_q",2,-0.0683781100750264,0.501661129568106,300
"packaged-results/dass-R/poverty_outcomes/design/design_ui_benefits_poverty_child_q_h4.csv","ui_benefits","poverty_child_q",4,-0.0256521940116874,0.760797342192691,300
"packaged-results/dass-R/poverty_outcomes/design/design_ui_benefits_poverty_child_q_h8.csv","ui_benefits","poverty_child_q",8,-0.0501639173179943,0.564784053156146,300
