"target","mode","rank","candidate","score","sig_share","coint_share","n_windows","selected_for_contract"
"poverty_all_q","positive",3,"transfers_total",0,0,0,2,TRUE
"poverty_all_q","positive",4,"median_real_income_fred_q",0,0,0,30,TRUE
"poverty_all_q","positive",5,"wealth_share_gap_top10_bottom50",0,0,0,9,TRUE
"poverty_all_q","positive",6,"wealth_share_gap_top1_bottom50",0,0,0,6,FALSE
"poverty_all_q","positive",7,"fhfa_hpi",0,0,0,20,FALSE
"poverty_all_q","positive",8,"top10_wealth_share",0,0,0,5,FALSE
"poverty_all_q","positive",9,"nonrevolving_credit",0,0,0,6,FALSE
"poverty_all_q","positive",10,"total_credit",0,0,0,4,FALSE
"poverty_all_q","positive",11,"top1_wealth_share",0,0,0,2,FALSE
"poverty_all_q","positive",12,"snap_persons",0,0,0,2,FALSE
"poverty_all_q","positive",13,"cc_delinquency",0,0,0,9,FALSE
"poverty_all_q","positive",14,"fed_funds",0,0,0,12,FALSE
"poverty_all_q","positive",15,"bottom50_wealth_share",0,0,0,8,FALSE
"poverty_all_q","positive",16,"social_security",0,0,0,2,FALSE
"poverty_child_q","least",1,"median_real_income_fred_q",NA,0,0,34,FALSE
"poverty_child_q","least",2,"transfers_total",NA,0,0,3,FALSE
"poverty_child_q","least",3,"wealth_share_gap_top1_bottom50",NA,0,0,3,FALSE
"poverty_child_q","least",4,"wealth_share_gap_top10_bottom50",NA,0,0,7,FALSE
"poverty_child_q","least",5,"nonrevolving_credit",NA,0,0,6,FALSE
"poverty_child_q","least",6,"ui_benefits",NA,0,0,1,FALSE
"poverty_child_q","least",7,"transfer_composite",NA,0,0,2,FALSE
"poverty_child_q","least",8,"total_credit",NA,0,0,3,FALSE
"poverty_child_q","least",9,"top10_wealth_share",NA,0,0,3,FALSE
"poverty_child_q","least",10,"equity_wealth_proxy",NA,0,0,1,FALSE
"poverty_child_q","least",11,"top1_wealth_share",NA,0,0,1,FALSE
"poverty_child_q","least",12,"cc_delinquency",NA,0,0,7,FALSE
"poverty_child_q","least",13,"fed_funds",NA,0,0,20,FALSE
"poverty_child_q","least",14,"fhfa_hpi",NA,0,0,14,FALSE
"poverty_child_q","least",15,"snap_persons",NA,0,0,1,FALSE
"poverty_child_q","least",16,"bottom50_wealth_share",NA,0,0,6,FALSE
"poverty_child_q","negative",1,"median_real_income_fred_q",0,0,0,34,FALSE
"poverty_child_q","negative",2,"transfers_total",0,0,0,3,FALSE
"poverty_child_q","negative",3,"wealth_share_gap_top1_bottom50",0,0,0,3,FALSE
"poverty_child_q","negative",4,"wealth_share_gap_top10_bottom50",0,0,0,7,FALSE
"poverty_child_q","negative",5,"nonrevolving_credit",0,0,0,6,FALSE
"poverty_child_q","negative",6,"ui_benefits",0,0,0,1,FALSE
"poverty_child_q","negative",7,"transfer_composite",0,0,0,2,FALSE
"poverty_child_q","negative",8,"total_credit",0,0,0,3,FALSE
"poverty_child_q","negative",9,"top10_wealth_share",0,0,0,3,FALSE
"poverty_child_q","negative",10,"equity_wealth_proxy",0,0,0,1,FALSE
"poverty_child_q","negative",11,"top1_wealth_share",0,0,0,1,FALSE
"poverty_child_q","negative",12,"cc_delinquency",0,0,0,7,FALSE
"poverty_child_q","negative",13,"fed_funds",0,0,0,20,FALSE
"poverty_child_q","negative",14,"fhfa_hpi",0,0,0,14,FALSE
"poverty_child_q","negative",15,"snap_persons",0,0,0,1,FALSE
"poverty_child_q","negative",16,"bottom50_wealth_share",0,0,0,6,FALSE
"poverty_child_q","positive",1,"median_real_income_fred_q",0,0,0,34,TRUE
"poverty_child_q","positive",2,"transfers_total",0,0,0,3,TRUE
"poverty_child_q","positive",3,"wealth_share_gap_top1_bottom50",0,0,0,3,TRUE
"poverty_child_q","positive",4,"wealth_share_gap_top10_bottom50",0,0,0,7,TRUE
"poverty_child_q","positive",5,"nonrevolving_credit",0,0,0,6,TRUE
"poverty_child_q","positive",6,"ui_benefits",0,0,0,1,FALSE
"poverty_child_q","positive",7,"transfer_composite",0,0,0,2,FALSE
"poverty_child_q","positive",8,"total_credit",0,0,0,3,FALSE
"poverty_child_q","positive",9,"top10_wealth_share",0,0,0,3,FALSE
"poverty_child_q","positive",10,"equity_wealth_proxy",0,0,0,1,FALSE
"poverty_child_q","positive",11,"top1_wealth_share",0,0,0,1,FALSE
"poverty_child_q","positive",12,"cc_delinquency",0,0,0,7,FALSE
"poverty_child_q","positive",13,"fed_funds",0,0,0,20,FALSE
"poverty_child_q","positive",14,"fhfa_hpi",0,0,0,14,FALSE
"poverty_child_q","positive",15,"snap_persons",0,0,0,1,FALSE
"poverty_child_q","positive",16,"bottom50_wealth_share",0,0,0,6,FALSE
"wealth_share_gap_top10_bottom50","least",1,"total_credit",NA,0,0,2,FALSE
"wealth_share_gap_top10_bottom50","least",2,"ui_benefits",NA,0,0,4,FALSE
"wealth_share_gap_top10_bottom50","least",3,"fhfa_hpi",NA,0,0,11,FALSE
"wealth_share_gap_top10_bottom50","least",4,"credit_composite",NA,0,0,2,FALSE
"wealth_share_gap_top10_bottom50","least",5,"revolving_credit",NA,0,0,2,FALSE
"wealth_share_gap_top10_bottom50","least",6,"median_real_income_fred_q",NA,0,0,7,FALSE
"wealth_share_gap_top10_bottom50","least",7,"transfer_composite",NA,0,0,1,FALSE
"wealth_share_gap_top10_bottom50","least",8,"snap_persons",NA,0,0,23,FALSE
